 objectid,premises_name, long, lat, lga
16483,MT ELIZA TENNIS CLUB,145.0861687,-38.18392303,MORNINGTON PENINSULA SHIRE
16484,GREENSBOROUGH BASEBALL CLUB,145.0901853,-37.7140992,BANYULE
16485,MERINO GOLF CLUB,141.538266,-37.728687,GLENELG
16486,SWANPOOL BOWLING CLUB,146.0008955,-36.74696773,BENALLA
16487,SUNSHINE GEORGE CROSS SOCCER CLUB,144.8273917,-37.7851864,BRIMBANK CITY
16488,VINTAGE CELLARS,144.995445,-37.91511,BAYSIDE
16489,MERRIVALE FOOTBALL CLUB,142.455393,-38.377506,WARRNAMBOOL CITY
16490,ENDEAVOUR HILLS CRICKET CLUB,145.249653,-37.966647,CASEY
16491,TEMPLETON CRICKET CLUB,145.2268164,-37.86059522,KNOX CITY
16492,MOOROOLBARK CRICKET CLUB,145.324572,-37.793565,YARRA RANGES
16493,MERBEIN SOUTH CRICKET CLUB,142.0784335,-34.1700501,MILDURA
16494,COBDEN BOWLING CLUB,143.0763789,-38.32441956,CORANGAMITE
16495,NYAH DISTRICT CRICKET CLUB,143.379019,-35.170125,SWAN HILL
16496,NORTH BENDIGO BOWLS CLUB,144.273575,-36.743708,GREATER BENDIGO
16497,POINT LONSDALE BOWLS CLUB INC,144.6143986,-38.28719,QUEENSCLIFFE BOROUGH
16498,PARKDALE CRICKET CLUB,145.0820652,-37.99118608,KINGSTON CITY
16499,HOWITT PARK BOWLS CLUB,147.645239,-37.825384,EAST GIPPSLAND
16500,KARINGAL DRIVE TENNIS CLUB GREENSBOROUGH,145.126715,-37.701951,BANYULE
16501,KYABRAM LAWN TENNIS CLUB,145.0458313,-36.3192012,CAMPASPE
16502,WARRANDYTE TENNIS CLUB,145.2092168,-37.7449732,MANNINGHAM
16503,NEWTOWN & CHILWELL CRICKET CLUB,144.319216,-38.149771,GREATER GEELONG
16504,WUNGHNU BOWLING CLUB,145.42993,-36.152932,MOIRA
16505,ESSENDON CITY SOCCER CLUB,144.9337851,-37.7712229,MOONEE VALLEY CITY
16506,MOORABBIN PARK CRICKET CLUB,145.038088,-37.941567,KINGSTON CITY
16507,FRANKSTON BOMBERS SPORTS CLUB,145.141464,-38.19499,FRANKSTON
16508,CHELSEA BOWLING CLUB,145.1234766,-38.0502781,KINGSTON CITY
16509,BUCKLEY RIDGES/DANDENONG EAST CRICKET CLUB,145.2205109,-37.9951407,GREATER DANDENONG CITY
16510,WARRNAMBOOL LAWN TENNIS CLUB,142.474893,-38.393862,WARRNAMBOOL CITY
16511,GREENHILLS MONTMORENCY BASEBALL CLUB,145.126715,-37.701951,BANYULE
16512,MOYHU BOWLING CLUB,146.378284,-36.576882,WANGARATTA
16513,ST LUKES TENNIS CLUB,145.040235,-37.6805989,WHITTLESEA
16514,MT ELIZA CRICKET CLUB,145.095277,-38.2190301,MORNINGTON PENINSULA SHIRE
16515,LATROBE VALLEY AERO CLUB,146.475061,-38.210658,LATROBE
16516,MORTLAKE BOWLS CLUB,142.8090855,-38.0819436,MOYNE
16517,BELVEDERE TENNIS CLUB,145.1514573,-38.1058325,FRANKSTON
16518,STANHOPE CRICKET CLUB,144.989704,-36.448106,CAMPASPE
16519,DEDERANG GOLF CLUB,147.019476,-36.478263,ALPINE
16520,ELSTERNWICK CRICKET CLUB,144.992541,-37.891026,BAYSIDE
16521,CARRUM BOWLING CLUB,145.1258149,-38.10660317,FRANKSTON
16522,YACKANDANDAH BOWLING CLUB,146.843293,-36.310551,INDIGO
16523,SCOPRI,144.974998,-37.795695,MELBOURNE
16524,KARRALYKA CENTRE,145.243343,-37.80816,MAROONDAH
16525,FAT COW CAFE,143.8905885,-38.63477571,COLAC OTWAY
16526,LAZY MOE'S,144.88152,-37.688594,HUME
16527,BLUE WATER FISH & CHIPS,147.3998687,-38.21093197,WELLINGTON
16528,POTTERS COTTAGE RESTAURANT,145.236586,-37.747251,MANNINGHAM
16529,BROTHER BURGER AND THE MARVELLOUS BREW,144.978878,-37.79459,YARRA
16530,ARARAT RSL,142.9337109,-37.28299086,ARARAT RURAL CITY
16531,SPRINGVALE RECREATION CLUB,145.1461642,-37.9430207,GREATER DANDENONG CITY
16532,ROYSTON HOTEL,145.0132487,-37.81643485,YARRA
16533,IMPERIAL HOTEL BAIRNSDALE,147.639694,-37.82628275,EAST GIPPSLAND
16534,WHITBURN CELLARS,145.1225634,-37.91105104,MONASH CITY
16535,TOWN HALL HOTEL FITZROY,144.9803557,-37.79871053,YARRA
16536,RIVERSDALE GOLF CLUB,145.111025,-37.869589,MONASH CITY
16537,null,143.3510541,-36.26914713,BULOKE
