premises_name, suburb, licence_no, address_1, address_2, postcode, long, licence_category, objectid, lga, lat
PHILIPPE,MELBOURNE,31850246,BASEMENT AUSTRAL HOUSE,115-119 COLLINS ST,3000,144.9699574,Restaurant and cafe Licence,21486,MELBOURNE,-37.81473194
null,MELBOURNE,32248159,GROUND FLOOR & LOWER GROUND FLOOR,234-236 FLINDERS LANE,3000,144.966261,Restaurant and cafe Licence,21505,MELBOURNE,-37.816564
METRO APARTMENTS MELBOURNE,MELBOURNE,33150008,18 BANK PLACE,null,3000,144.960448,General Licence,21520,MELBOURNE,-37.816429
SAINT & ROGUE,MELBOURNE,31850254,582-584 LITTLE COLLINS STREET,null,3000,144.9553652,On-Premises Licence,21522,MELBOURNE,-37.81743524
HOTEL LINDRUM,MELBOURNE,31950177,26 FLINDERS STREET,null,3000,144.9736623,General Licence,21552,MELBOURNE,-37.81544708
MELBOURNE MAHN DOO,MELBOURNE,31950541,299 QUEEN STREET,null,3000,144.9587916,General Licence,21555,MELBOURNE,-37.81141875
20 GOLDIE PLACE,MELBOURNE,32257271,14-18 GOLDIE PLACE,null,3000,144.9607493,Late night (on-premises) Licence,21574,MELBOURNE,-37.81332915
MAO PLEASE,MELBOURNE,32250392,214-216 LITTLE BOURKE STREET,null,3000,144.9662578,Restaurant and cafe Licence,21582,MELBOURNE,-37.81211775
TERRACE DELI,MELBOURNE,32250758,469 LITTLE COLLINS STREET,null,3000,144.9595246,Restaurant and cafe Licence,21622,MELBOURNE,-37.81655218
OM VEGETARIAN,MELBOURNE,32250643,SHOP 12 CAPITOL ARCADE,109-117 SWANSTON STREET,3000,144.9660285,Restaurant and cafe Licence,21626,MELBOURNE,-37.81499605
CAFE MAX,MELBOURNE,32250766,54-58 HARDWARE LANE,null,3000,144.9612479,Restaurant and cafe Licence,21652,MELBOURNE,-37.81337385
SARTI,MELBOURNE,32252001,LEVEL 1,6 RUSSELL PLACE,3000,144.9676068,On-Premises Licence,21655,MELBOURNE,-37.81393656
MELBOURNE AQUARIUM,MELBOURNE,32254655,CNR KINGSWAY & QUEENS WHARF ROAD,null,3000,144.9581984,On-Premises Licence,21684,MELBOURNE,-37.82108171
THE BUTTERFLY CLUB ART BAR,MELBOURNE,32253667,LEVELS 1-3,256 COLLINS STREET,3000,144.965354,On-Premises Licence,21706,MELBOURNE,-37.815634
null,MELBOURNE,32252027,REAR GROUND FLOOR,114 WILLIAM STREET,3000,144.9588797,Restaurant and cafe Licence,21707,MELBOURNE,-37.81645989
CAFE BROWN SUGAR,MELBOURNE,32251623,25 BLOCK PLACE,null,3000,144.9642428,Restaurant and cafe Licence,21723,MELBOURNE,-37.81517396
EZARD AT ADELPHI,MELBOURNE,31950193,187 FLINDERS LANE (LEVEL 1),null,3000,144.968293,General Licence,21735,MELBOURNE,-37.816226
MAA KIN 9,MELBOURNE,32255986,GROUND FLOOR & BASEMENT,310 FLINDERS LANE,3000,144.96371,Restaurant and cafe Licence,21746,MELBOURNE,-37.817316
DA HU PEKING DUCK RESTAURANT,MELBOURNE,32252904,171 LITTLE BOURKE STREET,null,3000,144.9674504,Restaurant and cafe Licence,21762,MELBOURNE,-37.81199545
EL COCO,MELBOURNE,31950410,120 KING STREET,null,3000,144.9564646,Late night (general) Licence,21769,MELBOURNE,-37.81716109
STELLINI BAR,MELBOURNE,32252394,198 & 202 LITTLE COLLINS STREET,null,3000,144.9672661,On-Premises Licence,21788,MELBOURNE,-37.8140243
THE RED HUMMING BIRD,MELBOURNE,32256217,FIRST FLOOR,246 RUSSELL STREET,3000,144.9673135,Late night (on-premises) Licence,21811,MELBOURNE,-37.8104868
CAFE BAR MILE,MELBOURNE,32257459,SHOP 4,302-308 FLINDERS LANE,3000,144.963903,Restaurant and cafe Licence,21837,MELBOURNE,-37.81725206
CRYSTAL JADE RESTAURANT,MELBOURNE,32253023,LEVEL 1,154 LITTLE BOURKE STREET,3000,144.9678264,Restaurant and cafe Licence,21847,MELBOURNE,-37.8116025
QUAY WEST MELBOURNE,SOUTHBANK,32253552,26 SOUTHGATE AVENUE,SOUTHGATE,3006,144.9672864,On-Premises Licence,21853,MELBOURNE,-37.82034446
